S.No.,"Code
No.",Course Name,Credits,Faculty Name(s)
1.,CS1.406,Advanced Algorithms,3-1-0-4,Suryajith Ch
2.,CE1.603,Advanced Structural Analysis,3-1-0-4,Pravin Kumar Venkat Rao
3.,EC4.501,Advances in Robotics & Control,3-1-0-4,Spandan Roy
4.,HS0.215,AI and Human Rights (H2),3-0-0-2,Aakansha Natani
5.,EC2.103,Analog Electronic Circuits,3-1-3-5,Abhishek Srivastava
6.,CE1.608,Analysis & Design of Precast and Prestressed Structures,3-1-0-4,Shubham Singhal
7.,CE1.609,Analysis and Design of Bridge Structures,3-1-0-4,Jofin George
8.,CS9.441,Applied Attention Theory,3-1-0-4,Priyanka Srivastava
9.,CS9.422,"Behavioral Research: Statistical
Methods",3-0-1-4,Vinoo Alluri + Vishnu Sreekumar
10.,SC2.203,Biomolecular Structures (H2),3-1-0-2,U Deva Priyakumar
11.,PD2.422,Business Finance (H1),3-1-0-2,A Sarath Babu
12.,SC1.102,Classical Mechanics (H1),3-1-0-2,Diganta Das
13.,CS9.430,Cognitive Neuroscience,3-1-0-4,BhakteeDongaonkar
14.,CS9.432,Cognitive Science and AI,3-1-0-4,Bapi Raju S
15.,EC5.203,Communication Theory,3-1-0-4,Praful Mankar
16.,EC5.204,"Communicaton and Controls in IoT
(H2)",3-1-0-2,Sachin Chaudari + Aftab Hussain
17.,CS1.403,Compilers,3-1-0-4,Venkatesh Choppella
18.,CL3.101,Computational Linguistics 1,3-1-0-4,Parameswari Krishnamurthy
19.,CL2.404,Computational Psycholinguistics,3-1-0-4,Rajakrishnan
20.,CS7.302,Computer Graphics (H1),3-1-0-2,P.J.Narayanan + K T Aakash Ajit
21.,CL4.407,Computer and Scripting II,2-0-0-2,A Aparajitha
22.,CS2.201a,Computer System Organization,3-1-0-4,Praveen Paruchuri + Deepak Gangadharan
23.,CS2.201,Computer Systems Organization,3-1-0-4,Praveen Paruchuri + Deepak Gangadharan
24.,CS7.505,Computer Vision,3-1-0-4,Makarand Tapaswi + Anoop Namboodiri
25.,SC4.102,Computing in Sciences II (H2),3-1-0-2,Prabhakar Bhimalapuram
26.,CS0.302,Computing Tools,3-1-3-4,Sriranjani K
27.,MA7.501,Continuous Variable Quantum Information Theory and Computation,3-1-0-4,UttamSingh
28.,HS1.208,Critical Viewing and Reading,3-1-0-4,Sushmita Banerjee
29.,CS1.201,Data Structures and Algorithms,3-1-3-5,"Sujit Gujar + Manish Shrivastava +
Gowtham Kurri"
30.,CS4.302,Data Visualisation (H2),2-0-1-2,Kamal Karlapalem
31.,CS6.301,Design and Analysis of Software Systems,3-1-0-4,Ramesh Lognathan + Raghu Reddy
32.,CE5.501,Design of Hydraulic Structures,3-1-0-4,Shaik Rehana
33.,PD1.502,Design of Wearable Systems (H),3-1-0-2,Raghu Reddy
34.,CS7.303,Digital Signal Analysis (H2),3-1-0-2,Anil Kumar V
35.,EC2.408,Digital VLSI Design,3-1-0-4,Zia Abbas
36.,CE8.401,Disaster Management,3-1-0-4,Jofin George + Shubham Singhal
37.,CS3.401,"Distributed Systems
Prerequisite: Operating Systems. Networks desirable",3-1-0-4,Lini Thomas
38.,SC1.440,"Dynamical Processes in Complex
Networks",3-1-0-4,Chittaranjan Hens
39.,CE1.601,Earthquake Engineering,3-1-0-4,Sunitha P
40.,SC1.101,Electrodynamics (H2),3-1-0-2,Diganta Das
41.,EC2.202,Electronics Workshop II,0-1-3-4,Anshu Sarje + Spandan Roy
42.,HS8.303,"Environmental & Social
Governance in Mineral Extraction",3-1-0-4,Radhika Krishnan
43.,HS0.209,Exploring Masculinities (H1),3-0-0-2,Vindhya Undurti
44.,EC2.502,Flexible Electronics,3-1-0-4,Aftab Hussain
45.,HS8.202,"Gender, Culture and Representatio",3-1-0-4,Subha Chakraburtty
46.,SC2.101,General and Structural Chemistry,3-1-0-4,Tapan Kumar Sau
47.,HS5.201,Growth and Development,3-1-0-4,Anirban Dasgupta
48.,PD1.501,Human Computer Interaction(H1),3-1-0-2,Raman Saxena
49.,CS9.433,Hydro informatics,3-1-0-4,Shaik Rehana
50.,EC5.102,Information and Communication,3-1-0-4,Prasad Krishnan + Arti Yardi
51.,CS8.402,Information Security Audit and Assurance,3-1-0-4,Shatrunjay Rawat
52.,CS3.404,Internals of Application Servers,3-1-0-4,Ramesh Loganathan
53.,HS4.302,Internet and Democracy,3-1-0-4,Aakansha Natani
54.,HS8.102,Intro to Human Sciences,3-1-0-4,Nazia Akhtar + Aakansha Natani
55.,EC2.204,"Intro to Processor Architecture
(H1)",3-1-0-2,Deepak Gangadharan
56.,EC4.402,Intro to UAV Design,3-1-0-4,Harikumar K
57.,CS1.305,"Introduction to Algorithms Engineering
(H2)",3-1-0-2,Kishore Kothapalli
58.,CS9.311,Introduction to Brain and Cognition (H2),3-1-0-2,Kavita Vemuri
59.,EC5.205,"Introduction to Coding Theory
(H1)",3-1-0-2,Arti Yardi + Prasad Krishnan
60.,CS1.408,Introduction to Game Theory,3-1-0-4,Sujit Gujar
61.,CS8.301,"Introduction to Information
Security (H1)",3-1-0-2,Ashok Kumar Das
62.,CS3.303,Introduction to IoT,1-0-3-3,Suresh Purini + Kavita Vemuri
63.,CL1.102,Introduction to Linguistics II,3-1-0-4,Aditi Mukherjee + Rajakrishnan
64.,CS7.401,Introduction to NLP,3-1-0-4,"Manish Shrivastava + Rahul
Mishra"
65.,SC1.420,Introduction to Particle Physics,3-1-0-4,Subhadip Mitra
66.,HS0.204,Introduction to Philosophy of Technology,3-1-0-4,Ashwin Jayanti
67.,CS9.312,"Introduction to Quantum Information
and Computation (H1)",3-1-0-2,Uttam Singh
68.,CS6.201,"Introduction to Software Systems
(H1)",1-0-3-2,"Anoop Namboodiri + Prakash
Yalla"
69.,CS9.315,"Introduction to Spatial Science
and Technology (H1)",3-1-0-2,RC Prasad + KS Rajan
70.,EC5.206,Introduction to Statistical Signal Processing (H2),3-1-0-2,Santosh Nannuru
